"2017-08-09 19:00","2017","08","09","19:00"
"2017-08-09 20:00","2017","08","09","20:00"
"2017-08-09 21:00","2017","08","09","21:00"
"2017-08-09 22:00","2017","08","09","22:00"
"2017-08-09 23:00","2017","08","09","23:00"
"2017-08-10 00:00","2017","08","10","00:00"
"2017-08-10 01:00","2017","08","10","01:00","8,8","","4,7","","76","","1","","14","","","","98,04","","","","","","ND"
"2017-08-10 02:00","2017","08","10","02:00","8,6","","4,5","","76","","32","","19","","","","98,04","","","","","","ND"
"2017-08-10 03:00","2017","08","10","03:00","8,3","","4,3","","76","","35","","7","","","","98,05","","","","","","ND"
"2017-08-10 04:00","2017","08","10","04:00"
"2017-08-10 05:00","2017","08","10","05:00"
"2017-08-10 06:00","2017","08","10","06:00"
"2017-08-10 07:00","2017","08","10","07:00"
"2017-08-10 08:00","2017","08","10","08:00"
"2017-08-10 09:00","2017","08","10","09:00"
"2017-08-10 10:00","2017","08","10","10:00"
"2017-08-10 11:00","2017","08","10","11:00"
"2017-08-10 12:00","2017","08","10","12:00"
"2017-08-10 13:00","2017","08","10","13:00"
"2017-08-10 14:00","2017","08","10","14:00"
"2017-08-10 15:00","2017","08","10","15:00"
"2017-08-10 16:00","2017","08","10","16:00"
"2017-08-10 17:00","2017","08","10","17:00","10,6","","5,9","","72","","28","","16","","","","98,14","","","","","","ND"
"2017-08-10 18:00","2017","08","10","18:00"
"2017-08-10 19:00","2017","08","10","19:00"
"2017-08-10 20:00","2017","08","10","20:00"
"2017-08-10 21:00","2017","08","10","21:00"
"2017-08-10 22:00","2017","08","10","22:00","8,7","","6,2","","84","","25","","23","","","","98,09","","","","","","ND"
"2017-08-10 23:00","2017","08","10","23:00","8,5","","5,8","","83","","26","","21","","","","98,07","","","","","","ND"
"2017-08-11 00:00","2017","08","11","00:00","8,1","","6,4","","89","","26","","19","","","","98,04","","","","","","ND"
"2017-08-11 01:00","2017","08","11","01:00","7,5","","6,9","","96","","26","","19","","","","98,03","","","","","","ND"
"2017-08-11 02:00","2017","08","11","02:00","6,4","","5,9","","97","","1","","11","","","","98,05","","","","","","ND"
"2017-08-11 03:00","2017","08","11","03:00","5,3","","4,9","","97","","3","","11","","","","98,06","","","","","","ND"
"2017-08-11 04:00","2017","08","11","04:00"
"2017-08-11 05:00","2017","08","11","05:00"
"2017-08-11 06:00","2017","08","11","06:00"
"2017-08-11 07:00","2017","08","11","07:00"
"2017-08-11 08:00","2017","08","11","08:00"
"2017-08-11 09:00","2017","08","11","09:00"
"2017-08-11 10:00","2017","08","11","10:00"
"2017-08-11 11:00","2017","08","11","11:00"
"2017-08-11 12:00","2017","08","11","12:00"
"2017-08-11 13:00","2017","08","11","13:00"
"2017-08-11 14:00","2017","08","11","14:00"
"2017-08-11 15:00","2017","08","11","15:00"
"2017-08-11 16:00","2017","08","11","16:00"
"2017-08-11 17:00","2017","08","11","17:00"
"2017-08-11 18:00","2017","08","11","18:00"
"2017-08-11 19:00","2017","08","11","19:00","6,0","","4,5","","90","","30","","10","","","","98,14","","","","","","ND"
"2017-08-11 20:00","2017","08","11","20:00","4,5","","4,0","","97","","5","","10","","","","98,15","","","","","","ND"
"2017-08-11 21:00","2017","08","11","21:00"
"2017-08-11 22:00","2017","08","11","22:00","4,1","","3,8","","97","","6","","9","","","","98,09","","","","","","ND"
"2017-08-11 23:00","2017","08","11","23:00","3,8","","3,5","","97","","4","","17","","","","98,08","","","","","","ND"
"2017-08-12 00:00","2017","08","12","00:00","3,6","","3,2","","98","","5","","10","","","","98,09","","","","","","ND"
"2017-08-12 01:00","2017","08","12","01:00","3,3","","3,0","","98","","4","","9","","","","98,11","","","","","","ND"
"2017-08-12 02:00","2017","08","12","02:00","3,4","","3,0","","98","","6","","9","","","","98,15","","","","","","ND"
"2017-08-12 03:00","2017","08","12","03:00","3,1","","2,8","","98","","3","","12","","","","98,18","","","","","","ND"
"2017-08-12 04:00","2017","08","12","04:00"
"2017-08-12 05:00","2017","08","12","05:00","2,9","","2,5","","98","","4","","13","","","","98,25","","","","","","ND"
"2017-08-12 06:00","2017","08","12","06:00"
"2017-08-12 07:00","2017","08","12","07:00","3,2","","2,9","","98","","2","","16","","","","98,31","","","","","","ND"
"2017-08-12 08:00","2017","08","12","08:00"
"2017-08-12 09:00","2017","08","12","09:00"
"2017-08-12 10:00","2017","08","12","10:00","3,4","","3,1","","98","","2","","18","","","","98,41","","","","","","ND"
"2017-08-12 11:00","2017","08","12","11:00"
"2017-08-12 12:00","2017","08","12","12:00"
"2017-08-12 13:00","2017","08","12","13:00"
"2017-08-12 14:00","2017","08","12","14:00"
"2017-08-12 15:00","2017","08","12","15:00"
"2017-08-12 16:00","2017","08","12","16:00"
"2017-08-12 17:00","2017","08","12","17:00"
"2017-08-12 18:00","2017","08","12","18:00"
"2017-08-12 19:00","2017","08","12","19:00"
"2017-08-12 20:00","2017","08","12","20:00"
"2017-08-12 21:00","2017","08","12","21:00","5,3","","4,9","","98","","8","","8","","","","98,46","","","","","","ND"
"2017-08-12 22:00","2017","08","12","22:00","5,3","","5,0","","98","","8","","7","","","","98,43","","","","","","ND"
"2017-08-12 23:00","2017","08","12","23:00","5,7","","5,4","","98","","35","","9","","","","98,42","","","","","","ND"
"2017-08-13 00:00","2017","08","13","00:00","5,4","","5,0","","98","","1","","13","","","","98,40","","","","","","ND"
"2017-08-13 01:00","2017","08","13","01:00","5,1","","4,9","","98","","4","","10","","","","98,41","","","","","","ND"
"2017-08-13 02:00","2017","08","13","02:00","5,0","","4,7","","98","","5","","7","","","","98,41","","","","","","ND"
"2017-08-13 03:00","2017","08","13","03:00"
"2017-08-13 04:00","2017","08","13","04:00"
"2017-08-13 05:00","2017","08","13","05:00","4,8","","4,5","","98","","6","","19","","","","98,39","","","","","","ND"
"2017-08-13 06:00","2017","08","13","06:00","5,0","","4,7","","98","","5","","16","","","","98,40","","","","","","ND"
"2017-08-13 07:00","2017","08","13","07:00","4,8","","4,5","","98","","1","","17","","","","98,40","","","","","","ND"
"2017-08-13 08:00","2017","08","13","08:00"
"2017-08-13 09:00","2017","08","13","09:00"
"2017-08-13 10:00","2017","08","13","10:00"
"2017-08-13 11:00","2017","08","13","11:00","4,8","","4,5","","98","","2","","23","","","","98,33","","","","","","ND"
"2017-08-13 12:00","2017","08","13","12:00","4,5","","4,2","","98","","3","","19","","","","98,35","","","","","","ND"
"2017-08-13 13:00","2017","08","13","13:00"
"2017-08-13 14:00","2017","08","13","14:00"
"2017-08-13 15:00","2017","08","13","15:00"
"2017-08-13 16:00","2017","08","13","16:00","5,5","","5,3","","98","","4","","26","","","","98,40","","","","","","ND"
"2017-08-13 17:00","2017","08","13","17:00"
"2017-08-13 18:00","2017","08","13","18:00"
"2017-08-13 19:00","2017","08","13","19:00"
"2017-08-13 20:00","2017","08","13","20:00","4,6","","4,3","","98","","2","","19","","","","98,46","","","","","","ND"
"2017-08-13 21:00","2017","08","13","21:00","4,3","","4,0","","98","","3","","20","","","","98,45","","","","","","ND"
"2017-08-13 22:00","2017","08","13","22:00","4,0","","3,8","","98","","4","","15","","","","98,44","","","","","","ND"
"2017-08-13 23:00","2017","08","13","23:00","3,8","","3,5","","98","","4","","13","","","","98,43","","","","","","ND"
"2017-08-14 00:00","2017","08","14","00:00","4,0","","3,7","","98","","3","","12","","","","98,44","","","","","","ND"
"2017-08-14 01:00","2017","08","14","01:00","4,0","","3,7","","98","","5","","14","","","","98,45","","","","","","ND"
"2017-08-14 02:00","2017","08","14","02:00"
