"Nom de la Station","SALLUIT"
"Province","QUÉBEC"
"Latitude","62,18"
"Longitude","-75,67"
"Altitude","228,00"
"ID climatologique","7117800"
"ID de l'OMM","71641"
"ID de TC","MFX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2015-01-04 17:00","2015","01","04","17:00","-31,2","","-34,6","","72","","19","","36","","","","98,58","","","","-48","","ND"
"2015-01-04 18:00","2015","01","04","18:00","-31,2","","-34,6","","72","","20","","39","","","","98,51","","","","-49","","ND"
"2015-01-04 19:00","2015","01","04","19:00","-31,3","","-34,7","","72","","20","","31","","","","98,53","","","","-48","","ND"
"2015-01-04 20:00","2015","01","04","20:00","-31,5","","-34,9","","72","","20","","31","","","","98,47","","","","-48","","ND"
"2015-01-04 21:00","2015","01","04","21:00","-31,9","","-35,3","","71","","22","","18","","","","98,45","","","","-45","","ND"
"2015-01-04 22:00","2015","01","04","22:00","-32,0","","-35,5","","71","","19","","22","","","","98,40","","","","-46","","ND"
"2015-01-04 23:00","2015","01","04","23:00","-32,1","","-35,6","","71","","20","","28","","","","98,33","","","","-48","","ND"
"2015-01-05 00:00","2015","01","05","00:00","-32,5","","-35,9","","72","","21","","18","","","","98,26","","","","-46","","ND"
"2015-01-05 01:00","2015","01","05","01:00","-32,0","","-35,5","","71","","20","","14","","","","98,22","","","","-43","","ND"
"2015-01-05 02:00","2015","01","05","02:00","-32,0","","-35,4","","71","","21","","14","","","","98,16","","","","-43","","ND"
"2015-01-05 03:00","2015","01","05","03:00","-31,9","","-35,4","","71","","19","","17","","","","98,14","","","","-44","","ND"
"2015-01-05 04:00","2015","01","05","04:00","-32,2","","-35,8","","71","","23","","9","","","","98,09","","","","-41","","ND"
