dates,DB_R_uncorrected,DB_R_corrected,S_EC
2016-04-25 00:00:00+00:00,-10.0,-13.971303431615254,-14.445833333333333
2016-04-26 00:00:00+00:00,-4.361111111111111,-8.34116102788184,-7.683333333333334
2016-04-27 00:00:00+00:00,5.472222222222222,1.4850017640500899,-0.75
2016-04-28 00:00:00+00:00,5.5,1.5071935238862504,-0.32083333333333336
2016-04-29 00:00:00+00:00,1.6666666666666667,-2.330134612992069,-2.5291666666666663
2016-04-30 00:00:00+00:00,-1.9444444444444444,-5.943644524439112,-6.2
2016-05-01 00:00:00+00:00,5.166666666666667,1.166666666666667,-4.571428571428571
2016-05-02 00:00:00+00:00,0.5833333333333334,-3.4158667466613335,-4.145833333333333
2016-05-03 00:00:00+00:00,3.9166666666666665,-0.08013461299206925,-3.4375
2016-05-04 00:00:00+00:00,-4.972222222222222,-8.965028698335972,-11.499999999999998
2016-05-05 00:00:00+00:00,-2.9166666666666665,-6.903887124838799,-8.17083333333333
2016-05-06 00:00:00+00:00,-0.6666666666666666,-4.646716583437397,-4.8136363636363635
2016-05-07 00:00:00+00:00,0.9166666666666666,-3.054636764948587,-7.241666666666666
2016-05-08 00:00:00+00:00,-0.08333333333333333,-4.044324787406272,-5.550000000000001
2016-05-09 00:00:00+00:00,1.6666666666666667,-2.282459619694495,-4.424999999999999
2016-05-10 00:00:00+00:00,5.0,1.0642779429099667,-3.6374999999999997
2016-05-11 00:00:00+00:00,4.5,0.579205306772979,-1.8863636363636367
2016-05-12 00:00:00+00:00,1.9166666666666667,-1.9876952218948152,-3.8250000000000006
2016-05-13 00:00:00+00:00,0.3888888888888889,-3.4975541798676026,-5.0375
2016-05-14 00:00:00+00:00,5.5,1.632940646915387,-1.1526315789473682
2016-05-15 00:00:00+00:00,6.333333333333333,2.487099820380255,1.4000000000000001
2016-05-16 00:00:00+00:00,6.611111111111111,2.7871211837787104,2.65
2016-05-17 00:00:00+00:00,2.9166666666666665,-0.8836878685438418,-0.7083333333333335
2016-05-18 00:00:00+00:00,1.5833333333333333,-2.1920214518688397,-2.7875
2016-05-20 00:00:00+00:00,-0.5277777777777778,-4.2491570107434615,-3.304166666666667
2016-05-21 00:00:00+00:00,-0.6666666666666666,-4.35913205221321,-3.35
2016-05-22 00:00:00+00:00,0.25,-3.4123109714479107,-3.1041666666666665
2016-05-23 00:00:00+00:00,-0.25,-3.8809501419473187,-3.6416666666666675
2016-05-24 00:00:00+00:00,0.8888888888888888,-2.7095293150920376,-3.8208333333333333
2016-05-25 00:00:00+00:00,1.25,-2.314751554016738,-2.370833333333334
2016-05-26 00:00:00+00:00,3.0833333333333335,-0.4466542770050488,-2.575
2016-05-27 00:00:00+00:00,2.75,-0.7441647439154013,-2.954545454545455
2016-05-28 00:00:00+00:00,1.5277777777777777,-1.929544430260567,-1.945833333333333
2016-05-29 00:00:00+00:00,-0.75,-4.169500066898678,-3.733333333333334
2016-05-30 00:00:00+00:00,0.5,-2.880739123294686,-4.133333333333334
2016-05-31 00:00:00+00:00,0.25,-3.0910808456450884,-4.154166666666667
2016-06-01 00:00:00+00:00,3.1666666666666665,-0.13390062782541756,-3.142857142857143
2016-06-02 00:00:00+00:00,5.5,2.240758951325082,-2.0708333333333333
2016-06-03 00:00:00+00:00,6.5,3.282854868646104,-0.8791666666666664
2016-06-04 00:00:00+00:00,4.666666666666667,1.4923437306035998,-0.4875
2016-06-05 00:00:00+00:00,6.861111111111111,3.7302929581436377,-0.09166666666666667
2016-06-06 00:00:00+00:00,2.25,-0.8366746954981048,-2.768181818181818
2016-06-07 00:00:00+00:00,1.0833333333333333,-1.9586032942010252,-3.050000000000001
2016-06-08 00:00:00+00:00,0.9166666666666666,-2.079981424633304,-1.8208333333333335
2016-06-09 00:00:00+00:00,3.4166666666666665,0.4658134305325281,0.6874999999999999
2016-06-10 00:00:00+00:00,3.25,0.3454038517052367,0.2625000000000001
2016-06-11 00:00:00+00:00,3.5,0.6420792180543855,-0.8625000000000002
2016-06-12 00:00:00+00:00,3.75,0.9391291085264086,-1.0291666666666661
2016-06-13 00:00:00+00:00,6.333333333333333,3.5698433680569734,2.7458333333333336
2016-06-14 00:00:00+00:00,7.75,5.034178838845728,6.566666666666666
2016-06-15 00:00:00+00:00,8.0,5.332092756566102,6.7875000000000005
2016-06-16 00:00:00+00:00,8.5,5.880209478056467,6.058333333333334
2016-06-17 00:00:00+00:00,12.916666666666666,10.345153873712778,9.350000000000001
2016-06-18 00:00:00+00:00,10.083333333333334,7.560218051143621,7.508333333333332
2016-06-20 00:00:00+00:00,9.916666666666666,7.490544027816132,5.691666666666667
2016-06-21 00:00:00+00:00,4.5,2.122393376999125,1.6708333333333334
2016-06-22 00:00:00+00:00,2.5833333333333335,0.25420437252607986,1.6500000000000001
2016-06-23 00:00:00+00:00,1.0,-1.2807272493504205,1.4749999999999999
2016-06-24 00:00:00+00:00,2.3333333333333335,0.10089511166660259,2.5791666666666666
2016-06-25 00:00:00+00:00,5.25,3.065702293441162,3.745833333333334
2016-06-26 00:00:00+00:00,7.444444444444445,5.308103853406376,3.770833333333334
2016-06-27 00:00:00+00:00,3.1666666666666665,1.078065881234747,1.9583333333333333
2016-06-28 00:00:00+00:00,6.583333333333333,4.542222142151317,4.7875
2016-06-29 00:00:00+00:00,13.027777777777779,11.033874106427914,8.625
2016-06-30 00:00:00+00:00,11.583333333333334,9.636324309493446,11.216666666666667
2016-07-01 00:00:00+00:00,9.5,7.5995430426585635,9.216666666666665
2016-07-02 00:00:00+00:00,7.583333333333333,5.729057263349339,7.2250000000000005
2016-07-03 00:00:00+00:00,8.055555555555555,6.247061724863224,4.545833333333333
2016-07-04 00:00:00+00:00,7.25,5.486863436778702,4.1
2016-07-05 00:00:00+00:00,6.0,4.281770567157043,6.375000000000001
2016-07-06 00:00:00+00:00,8.75,7.076203564347859,8.370833333333335
2016-07-07 00:00:00+00:00,8.805555555555555,7.175695165105445,9.995652173913042
2016-07-08 00:00:00+00:00,7.666666666666667,6.0802237335068074,7.875000000000001
2016-07-09 00:00:00+00:00,9.75,8.206435486279123,11.166666666666666
2016-07-10 00:00:00+00:00,16.583333333333332,15.082088937927734,13.783333333333333
2016-07-11 00:00:00+00:00,10.166666666666666,8.70716601017195,12.958333333333336
2016-07-12 00:00:00+00:00,15.972222222222221,14.553872027978626,14.09583333333333
2016-07-13 00:00:00+00:00,9.083333333333334,7.705524602265697,7.847826086956521
2016-07-14 00:00:00+00:00,3.4166666666666665,2.07877584379641,1.9000000000000001
2016-07-15 00:00:00+00:00,4.194444444444445,2.8958345750110457,3.054166666666667
2016-07-16 00:00:00+00:00,8.75,7.490021873212946,6.269565217391304
2016-07-17 00:00:00+00:00,8.75,7.527993278528779,6.441666666666666
2016-07-18 00:00:00+00:00,8.0,6.815294333398933,6.429166666666667
2016-07-20 00:00:00+00:00,12.583333333333334,11.471184131520557,10.470833333333333
2016-07-21 00:00:00+00:00,4.916666666666667,3.839758247680269,5.163157894736843
2016-07-22 00:00:00+00:00,4.75,3.707632715949243,5.116666666666666
2016-07-23 00:00:00+00:00,9.916666666666666,8.908136126093465,9.070833333333333
2016-07-24 00:00:00+00:00,12.166666666666666,11.191264718960568,10.995833333333332
2016-07-25 00:00:00+00:00,14.25,13.307015693776545,15.0375
2016-07-26 00:00:00+00:00,17.083333333333332,16.172053847741296,16.408333333333335
2016-07-27 00:00:00+00:00,14.222222222222221,13.341933770243038,16.4875
2016-07-28 00:00:00+00:00,13.88888888888889,13.0388775917888,13.741666666666667
2016-07-29 00:00:00+00:00,14.916666666666666,14.096219398858358,14.4375
2016-07-30 00:00:00+00:00,13.25,12.458405203665542,13.4125
2016-07-31 00:00:00+00:00,12.25,11.486548468920478,12.516666666666667
2016-08-01 00:00:00+00:00,15.472222222222221,14.736207854351342,17.900000000000002
2016-08-02 00:00:00+00:00,20.416666666666668,19.707387185075483,19.504166666666666
2016-08-03 00:00:00+00:00,16.27777777777778,15.594535419685519,20.279166666666665
2016-08-04 00:00:00+00:00,17.694444444444443,17.036546618135823,16.470833333333335
2016-08-05 00:00:00+00:00,13.333333333333334,12.700093242845579,16.05454545454545
2016-08-06 00:00:00+00:00,14.5,13.890737237543032,12.945833333333333
2016-08-07 00:00:00+00:00,15.333333333333334,14.74737443948387,12.937500000000002
2016-08-08 00:00:00+00:00,10.36111111111111,9.797790102895744,8.645833333333334
2016-08-09 00:00:00+00:00,12.944444444444445,12.403103311497993,10.899999999999999
2016-08-10 00:00:00+00:00,9.25,8.729989169053395,7.804166666666666
2016-08-11 00:00:00+00:00,4.25,3.750678768016668,3.1416666666666675
2016-08-12 00:00:00+00:00,9.333333333333334,8.85407026967431,7.700000000000002
2016-08-13 00:00:00+00:00,11.194444444444445,10.734617762500305,9.995833333333335
2016-08-14 00:00:00+00:00,13.583333333333334,13.142331232115392,11.695
2016-08-15 00:00:00+00:00,16.166666666666668,15.743887642900713,14.208333333333336
2016-08-16 00:00:00+00:00,14.75,14.344853131313126,13.358333333333329
2016-08-17 00:00:00+00:00,13.333333333333334,12.945238533168187,11.200000000000001
2016-08-18 00:00:00+00:00,13.083333333333334,12.711721578264283,12.087499999999999
2016-08-20 00:00:00+00:00,15.0,14.659692493377271,12.216666666666669
2016-08-21 00:00:00+00:00,13.36111111111111,13.035647832453009,10.129166666666668
2016-08-22 00:00:00+00:00,12.083333333333334,11.772191258507045,7.256521739130436
2016-08-23 00:00:00+00:00,10.75,10.452667916596841,7.591666666666666
2016-08-24 00:00:00+00:00,7.166666666666667,6.882645251708119,5.5249999999999995
2016-08-25 00:00:00+00:00,9.5,9.22880187560301,6.595833333333332
2016-08-26 00:00:00+00:00,9.166666666666666,8.90781643454176,6.287499999999999
2016-08-27 00:00:00+00:00,10.583333333333334,10.336367588999618,7.208333333333333
2016-08-28 00:00:00+00:00,9.666666666666666,9.431133994275424,6.170833333333332
2016-08-29 00:00:00+00:00,8.5,8.275460948663465,5.216666666666668
2016-08-30 00:00:00+00:00,5.416666666666667,5.202693709190725,4.020833333333333
2016-08-31 00:00:00+00:00,8.666666666666666,8.462844141585888,6.037499999999999
2016-09-18 00:00:00+00:00,8.0,7.9998397388104285,2.3625
2016-09-20 00:00:00+00:00,11.5,11.499808285953812,8.083333333333334
2016-09-21 00:00:00+00:00,9.333333333333334,9.3331237744179,7.462500000000001
2016-09-22 00:00:00+00:00,5.416666666666667,5.416437693477441,4.1875
2016-09-23 00:00:00+00:00,4.083333333333333,4.083083247318234,1.5416666666666663
2016-09-24 00:00:00+00:00,3.9166666666666665,3.916393630321423,1.441666666666667
