;T_uncorrected;T_corrected
2017-03-18 00:00:00+00:00;-15.076923076923077;-17.79274424256515
2017-03-20 00:00:00+00:00;-1.6153846153846154;-4.426255510326855
2017-03-21 00:00:00+00:00;-14.384615384615385;-17.242536169608634
2017-03-22 00:00:00+00:00;-15.692307692307692;-18.59690384327911
2017-03-23 00:00:00+00:00;-16.615384615384617;-19.566237853868653
2017-03-24 00:00:00+00:00;-15.076923076923077;-18.073571170285252
2017-03-25 00:00:00+00:00;-17.23076923076923;-20.2727058601126
2017-03-26 00:00:00+00:00;-16.083333333333332;-19.17000803041771
2017-03-27 00:00:00+00:00;-12.583333333333334;-15.714151487691215
2017-03-28 00:00:00+00:00;-14.416666666666666;-17.59098960394798
2017-03-29 00:00:00+00:00;-9.833333333333334;-13.050478465754201
2017-03-30 00:00:00+00:00;-8.0;-11.259241049609036
2017-03-31 00:00:00+00:00;-6.916666666666667;-10.217233961976238
2017-04-01 00:00:00+00:00;-11.75;-15.091080846360223
2017-04-02 00:00:00+00:00;-13.416666666666666;-16.797405790586712
2017-04-03 00:00:00+00:00;-7.916666666666667;-11.33616673411199
2017-04-04 00:00:00+00:00;-3.75;-7.207322208516001
2017-04-05 00:00:00+00:00;1.0;-2.494164744332624
2017-04-06 00:00:00+00:00;3.3333333333333335;-0.19665427736935373
2017-04-07 00:00:00+00:00;1.5;-2.064751554334728
2017-04-08 00:00:00+00:00;1.0;-2.5984182042584
2017-04-09 00:00:00+00:00;-1.8333333333333333;-5.464283475522699
2017-04-10 00:00:00+00:00;-9.8;-13.462310971659003
2017-04-11 00:00:00+00:00;-9.636363636363637;-13.328829022094235
2017-04-12 00:00:00+00:00;-12.0;-15.721379233126136
2017-04-13 00:00:00+00:00;-11.125;-14.874019582590583
2017-04-14 00:00:00+00:00;-13.8;-17.575354785324105
2017-04-15 00:00:00+00:00;-14.333333333333334;-18.13368786865016
2017-04-16 00:00:00+00:00;-11.0;-14.823989927425137
2017-04-17 00:00:00+00:00;-11.6;-15.44623351303402
2017-04-18 00:00:00+00:00;-8.714285714285714;-12.581345067441047
2017-04-20 00:00:00+00:00;-8.5;-12.404361888615732
2017-04-21 00:00:00+00:00;-3.3;-7.2207946932747165
2017-04-22 00:00:00+00:00;0.2;-3.735722057132125
2017-04-23 00:00:00+00:00;-9.333333333333334;-13.282459619731826
2017-04-24 00:00:00+00:00;-7.777777777777778;-11.73876923188404
2017-04-25 00:00:00+00:00;-8.1;-12.071303431645248
2017-04-26 00:00:00+00:00;-9.3;-13.28004991679801
2017-04-27 00:00:00+00:00;-7.818181818181818;-11.805402276379077
2017-04-28 00:00:00+00:00;-0.75;-4.7428064761372415
2017-04-29 00:00:00+00:00;-7.32;-11.316801279681084
2017-04-30 00:00:00+00:00;-7.055555555555555;-11.054755635571892
2017-05-01 00:00:00+00:00;-8.416666666666666;-12.41666666668811
2017-05-02 00:00:00+00:00;-6.833333333333333;-10.832533413349669
2017-05-03 00:00:00+00:00;-5.666666666666667;-9.66346794634775
2017-05-04 00:00:00+00:00;-1.4444444444444444;-5.437250920581686
2017-05-05 00:00:00+00:00;-3.611111111111111;-7.59833156930837
2017-05-06 00:00:00+00:00;-3.0;-6.980049916798009
2017-05-07 00:00:00+00:00;-4.833333333333333;-8.804636764978582
2017-05-08 00:00:00+00:00;2.6944444444444446;-1.2665470096618192
2017-05-09 00:00:00+00:00;10.13888888888889;6.189762602490396
2017-05-10 00:00:00+00:00;11.416666666666666;7.480944609534541
2017-05-11 00:00:00+00:00;9.0;5.0792053067252825
2017-05-12 00:00:00+00:00;9.472222222222221;5.5678603336064905
2017-05-13 00:00:00+00:00;9.083333333333334;5.196890264514965
2017-05-14 00:00:00+00:00;1.9166666666666667;-1.950392686488666
2017-05-15 00:00:00+00:00;1.25;-2.596233513034021
2017-05-16 00:00:00+00:00;2.3055555555555554;-1.5184343718695814
2017-05-17 00:00:00+00:00;3.75;-0.05035453531682561
2017-05-18 00:00:00+00:00;0.0;-3.7753547853241063
2017-05-20 00:00:00+00:00;2.638888888888889;-1.082490344237248
2017-05-21 00:00:00+00:00;1.3333333333333333;-2.3591320523972628
2017-05-22 00:00:00+00:00;-1.5833333333333333;-5.245644304992334
2017-05-23 00:00:00+00:00;-1.5833333333333333;-5.2142834755227
2017-05-24 00:00:00+00:00;3.235294117647059;-0.3631240866113413
2017-05-25 00:00:00+00:00;8.166666666666666;4.601915112331938
2017-05-26 00:00:00+00:00;9.083333333333334;5.553345722630647
2017-05-27 00:00:00+00:00;8.666666666666666;5.1725019223340425
2017-05-28 00:00:00+00:00;7.5;4.042677791483999
